Country,State,University Name,Type of University,Tie Up with University,School,Technologies/Courses Offered,Course Types,Unplaced %,Corporate Tie Up,Job Offering,Internship,Marketing Strategy,Costing,Hackathons,Services Offered,Scholarships,Tier,Ranking
Australia,Queensland,University of Queensland (UQ),Public,No,Business,Cyber Security,Full-time,15.23,No,Yes,No,Search Engine Marketing (SEM),$15721,No,Training,Yes,Tier 1,288
Australia,Queensland,Queensland University of Technology (QUT),Public,Yes,Arts,AI,Online,5.19,Yes,No,Yes,Influencer Marketing,$18619,No,Training,No,Tier 2,196
Australia,Queensland,Griffith University,Private,Yes,Arts,Data Science,Part-time,9.43,No,Yes,No,Social Media Advertising,$15466,No,Consulting,No,Tier 3,290
Australia,Queensland,Bond University,Public,Yes,Science,IoT,Full-time,7.59,No,No,Yes,Direct Engagement,$24541,Yes,Consulting,Yes,Tier 1,230
Australia,Queensland,Central Queensland University,Private,No,Engineering,IoT,Part-time,6.75,Yes,Yes,Yes,Direct Engagement,$43824,No,Both,Yes,Tier 3,355
Australia,Queensland,University of the Sunshine Coast,Private,No,Science,IoT,Full-time,7.38,No,Yes,No,Email Marketing,$20010,No,Both,No,Tier 2,346
Australia,Western Australia,University of Western Australia (UWA),Public,Yes,Business,ML,Online,8.44,Yes,Yes,Yes,Community Engagement,$43217,Yes,Both,Yes,Tier 2,378
Australia,Western Australia,Curtin University,Private,No,Business,Cyber Security,Online,7.26,No,No,Yes,Email Marketing,$40704,Yes,Consulting,No,Tier 1,167
Australia,Western Australia,Edith Cowan University (ECU),Private,No,Arts,Data Science,Online,13.52,No,No,No,Community Engagement,$39177,Yes,Training,No,Tier 1,488
Australia,South Australia,University of Adelaide,Private,Yes,Engineering,IoT,Full-time,17.52,No,Yes,Yes,Influencer Marketing,$32472,Yes,Training,No,Tier 2,958
Australia,South Australia,University of South Australia (UniSA),Public,No,Business,IoT,Full-time,10.64,Yes,Yes,Yes,Social Media Advertising,$26361,No,Consulting,No,Tier 1,735
Australia,South Australia,Flinders University,Private,No,Arts,IoT,Part-time,17.54,Yes,No,No,Community Engagement,$42376,Yes,Both,No,Tier 1,701
Australia,Tasmania,University of Tasmania,Private,No,Business,ML,Online,9.98,No,Yes,Yes,Direct Engagement,$19147,No,Training,Yes,Tier 1,312
Australia,Northern Territory,Charles Darwin University,Public,No,Science,IoT,Full-time,19.07,No,Yes,Yes,Email Marketing,$37781,No,Both,No,Tier 3,244
Australia,Multi-State,Australian Catholic University (ACU),Public,No,Engineering,IoT,Full-time,5.64,No,Yes,No,Search Engine Marketing (SEM),$24523,No,Both,No,Tier 3,122
UAE,Dubai,American University in Dubai (AUD),Public,Yes,Engineering,IoT,Part-time,18.64,Yes,Yes,No,Community Engagement,$43407,Yes,Both,No,Tier 2,521
UAE,Dubai,University of Dubai,Private,No,Business,Cyber Security,Part-time,7.96,Yes,Yes,Yes,Social Media Advertising,$33230,No,Consulting,Yes,Tier 3,2
UAE,Dubai,Mohammed bin Rashid University of Medicine and Health Sciences,Public,Yes,Arts,Cyber Security,Part-time,7.78,No,Yes,No,Social Media Advertising,$43172,No,Both,No,Tier 3,603
UAE,Dubai,Dubai Institute of Design and Innovation (DIDI),Private,No,Engineering,Cyber Security,Full-time,9.61,Yes,Yes,No,Community Engagement,$13884,Yes,Training,No,Tier 3,964
UAE,Dubai,University of the Arts London - Dubai,Private,Yes,Business,Data Science,Part-time,17.99,Yes,Yes,No,SEO,$43432,Yes,Consulting,Yes,Tier 2,870
UAE,Dubai,British University in Dubai,Public,No,Engineering,IoT,Part-time,18.37,No,Yes,Yes,Search Engine Marketing (SEM),$25121,No,Training,Yes,Tier 1,606
UAE,Dubai,Dubai Medical College,Public,No,Business,IoT,Online,14.01,No,Yes,Yes,Direct Engagement,$32561,No,Both,Yes,Tier 1,604
UAE,Dubai,Heriot-Watt University - Dubai,Public,Yes,Science,Cyber Security,Part-time,13.57,Yes,Yes,No,SEO,$38075,Yes,Training,No,Tier 3,221
UAE,Abu Dhabi,Khalifa University,Public,Yes,Business,AI,Online,15.96,No,Yes,Yes,Social Media Advertising,$35409,No,Consulting,Yes,Tier 3,921
UAE,Abu Dhabi,Zayed University,Public,No,Arts,AI,Online,7.77,No,No,No,Search Engine Marketing (SEM),$16056,No,Training,No,Tier 3,879
UAE,Abu Dhabi,Abu Dhabi University,Private,Yes,Arts,Data Science,Part-time,14.1,No,Yes,Yes,Print Media,$39102,No,Both,No,Tier 3,850
UAE,Sharjah,American University of Sharjah (AUS),Public,No,Business,IoT,Part-time,18.95,No,No,Yes,Influencer Marketing,$42178,No,Training,Yes,Tier 1,281
UAE,Sharjah,University of Sharjah,Public,Yes,Arts,Data Science,Online,13.96,Yes,Yes,Yes,Print Media,$10410,Yes,Training,Yes,Tier 3,829
UAE,Sharjah,Skyline University College,Public,Yes,Engineering,IoT,Full-time,19.14,Yes,No,No,Print Media,$19317,Yes,Both,Yes,Tier 2,249
UAE,Ajman,Gulf Medical University,Private,No,Business,Data Science,Part-time,18.94,No,No,No,Email Marketing,$46549,No,Consulting,Yes,Tier 2,54
UAE,Ajman,Gulf University,Private,No,Arts,IoT,Part-time,6.07,No,No,No,Print Media,$12022,Yes,Training,Yes,Tier 3,129
UAE,Ras Al Khaimah,American University of Ras Al Khaimah,Private,Yes,Science,Data Science,Full-time,19.06,No,No,Yes,Social Media Advertising,$33360,No,Training,Yes,Tier 3,614
UAE,Fujairah,University of Fujairah,Private,No,Science,ML,Online,18.58,No,Yes,No,SEO,$20417,No,Both,No,Tier 1,626
Saudi Arabia,Riyadh,King Saud University (KSU),Public,Yes,Arts,IoT,Part-time,14.92,Yes,Yes,Yes,Radio and tv advertising,$40119,No,Consulting,Yes,Tier 2,402
Saudi Arabia,Riyadh,King Saud bin Abdulaziz University for Health Sciences (KSAU-HS),Private,Yes,Arts,Cyber Security,Online,16.22,No,No,No,Influencer Marketing,$34690,Yes,Training,No,Tier 1,592
Saudi Arabia,Riyadh,Prince Sultan University (PSU),Private,Yes,Arts,Cyber Security,Online,7.81,Yes,No,No,Radio and tv advertising,$38615,No,Consulting,No,Tier 2,698
Saudi Arabia,Riyadh,Al-Yamamah University,Private,No,Science,Data Science,Online,6.94,No,No,Yes,Search Engine Marketing (SEM),$32291,Yes,Training,No,Tier 2,689
Saudi Arabia,Riyadh,Al-Faisal University,Private,Yes,Engineering,ML,Online,12.34,Yes,No,Yes,Search Engine Marketing (SEM),$29058,Yes,Both,Yes,Tier 3,475
Saudi Arabia,Riyadh,American International University (AIU),Private,Yes,Engineering,Data Science,Part-time,8.19,Yes,No,No,Direct Engagement,$27143,Yes,Both,No,Tier 1,445
Saudi Arabia,Riyadh,Arab Open University,Private,Yes,Arts,Cyber Security,Part-time,10.41,Yes,No,Yes,Community Engagement,$20112,No,Both,Yes,Tier 1,187
Saudi Arabia,Riyadh,Saudi Electronic University (SEU),Private,Yes,Arts,IoT,Full-time,17.42,Yes,No,Yes,SEO,$23957,No,Training,No,Tier 3,457
Saudi Arabia,Jeddah,King Abdulaziz University (KAU),Public,No,Arts,Cyber Security,Part-time,7.59,No,No,No,Community Engagement,$18455,No,Training,No,Tier 2,460
Saudi Arabia,Jeddah,University of Jeddah,Private,No,Engineering,Cyber Security,Part-time,8.31,Yes,Yes,Yes,SEO,$40403,No,Training,No,Tier 3,7
Saudi Arabia,Jeddah,Dar Al-Hekma University,Public,No,Business,ML,Full-time,17.45,Yes,No,Yes,Email Marketing,$27652,Yes,Both,No,Tier 2,394
Saudi Arabia,Jeddah,Effat University,Private,Yes,Science,Data Science,Part-time,14.52,No,Yes,Yes,Community Engagement,$22736,No,Consulting,No,Tier 3,439
Saudi Arabia,Dhahran,King Fahd University of Petroleum and Minerals (KFUPM),Private,Yes,Arts,AI,Full-time,19.22,Yes,Yes,No,Influencer Marketing,$22379,No,Consulting,No,Tier 1,892
Saudi Arabia,Abha,King Khalid University (KKU),Private,Yes,Science,Cyber Security,Part-time,7.54,No,Yes,No,Influencer Marketing,$35418,Yes,Training,Yes,Tier 3,719
Saudi Arabia,Dammam,Imam Abdulrahman Bin Faisal University (IAU),Public,Yes,Engineering,IoT,Full-time,14.97,Yes,No,No,Direct Engagement,$45396,Yes,Both,No,Tier 3,322
Saudi Arabia,Manama,Kingdom University,Public,Yes,Arts,Cyber Security,Full-time,19.29,No,Yes,No,Community Engagement,$10243,Yes,Both,Yes,Tier 3,304
Saudi Arabia,Tabuk,Tabuk University,Public,Yes,Arts,Data Science,Full-time,14.72,No,No,No,Direct Engagement,$19489,No,Training,Yes,Tier 3,70
Saudi Arabia,Buraydah,Qassim University,Public,Yes,Business,AI,Online,15.44,Yes,Yes,Yes,Community Engagement,$35633,No,Consulting,No,Tier 1,768
Saudi Arabia,Jazan,Jazan University,Public,Yes,Business,AI,Online,6.65,Yes,No,No,Email Marketing,$26719,No,Training,No,Tier 3,296
Saudi Arabia,Hail,Hail University,Private,Yes,Engineering,ML,Online,11.89,No,No,No,Radio and tv advertising,$28404,Yes,Both,No,Tier 1,87
Saudi Arabia,Najran,Najran University,Public,No,Business,Data Science,Part-time,18.96,Yes,No,No,Radio and tv advertising,$39788,Yes,Both,Yes,Tier 1,505
Saudi Arabia,Al Khobar,Prince Mohammad Bin Fahd University (PMU),Public,No,Science,ML,Full-time,10.59,Yes,No,No,Radio and tv advertising,$43901,Yes,Both,Yes,Tier 3,244
Saudi Arabia,Sakakah,Al-Jouf University,Public,Yes,Arts,Cyber Security,Part-time,5.53,Yes,Yes,No,Community Engagement,$16814,No,Consulting,No,Tier 1,131
Saudi Arabia,Arar,Northern Borders University,Public,Yes,Engineering,IoT,Part-time,16.01,No,Yes,Yes,Radio and tv advertising,$47464,No,Consulting,Yes,Tier 2,603
Saudi Arabia,Bisha,University of Bisha,Private,Yes,Science,Cyber Security,Part-time,17.6,Yes,No,No,Email Marketing,$47368,No,Training,Yes,Tier 3,401
Kuwait,Kuwait City,Kuwait University,Private,No,Engineering,Data Science,Part-time,15.65,No,No,No,Email Marketing,$39630,Yes,Consulting,Yes,Tier 3,439
Kuwait,Kuwait City,The Public Authority for Applied Education and Training (PAAET),Private,Yes,Arts,Cyber Security,Online,10.77,Yes,No,No,Email Marketing,$47864,Yes,Consulting,Yes,Tier 1,541
Kuwait,Kuwait City,Kuwait International University,Private,No,Arts,Data Science,Full-time,18.02,No,No,Yes,Search Engine Marketing (SEM),$40701,No,Consulting,Yes,Tier 2,711
Kuwait,Kuwait City,University of Sharjah (Kuwait Campus),Public,No,Arts,IoT,Online,9.85,Yes,No,No,Search Engine Marketing (SEM),$26298,Yes,Training,No,Tier 2,525
Kuwait,Kuwait City,Arab Open University,Private,No,Science,AI,Online,13.58,No,Yes,No,SEO,$41387,Yes,Both,Yes,Tier 2,348
Kuwait,Kuwait City,Alhadi University College,Private,Yes,Engineering,IoT,Part-time,7.85,No,Yes,Yes,Email Marketing,$14302,Yes,Consulting,Yes,Tier 3,463
Kuwait,Kuwait City,New Kuwait University College,Private,Yes,Science,ML,Online,9.52,No,Yes,No,SEO,$29010,Yes,Both,No,Tier 1,911
Kuwait,Kuwait City,College of Basic Education,Private,No,Business,ML,Part-time,5.94,No,No,Yes,Influencer Marketing,$31013,Yes,Both,Yes,Tier 2,471
Kuwait,Egaila,American University of the Middle East,Public,Yes,Business,AI,Full-time,5.2,Yes,No,No,Radio and tv advertising,$25610,Yes,Consulting,Yes,Tier 3,207
Kuwait,Mubarak Al-Abdullah,Australian College of Kuwait,Public,No,Science,Data Science,Part-time,13.57,Yes,Yes,Yes,Community Engagement,$48733,Yes,Training,Yes,Tier 3,180
Kuwait,Hawally,Gulf University for Science and Technology,Public,No,Engineering,Data Science,Part-time,8.93,Yes,No,Yes,Search Engine Marketing (SEM),$20965,No,Consulting,Yes,Tier 2,62
Egypt,Giza,Cairo University,Private,Yes,Science,IoT,Full-time,14.18,Yes,Yes,No,Community Engagement,$12501,Yes,Both,Yes,Tier 1,292
Egypt,Cairo,American University in Cairo (AUC),Public,Yes,Business,AI,Full-time,9.64,No,Yes,Yes,Email Marketing,$37978,Yes,Training,No,Tier 3,615
Egypt,Cairo,Ain Shams University,Public,Yes,Engineering,AI,Part-time,9.41,Yes,No,No,Search Engine Marketing (SEM),$20876,Yes,Consulting,Yes,Tier 2,503
Egypt,Cairo,Helwan University,Public,No,Arts,IoT,Full-time,12.83,No,Yes,Yes,Search Engine Marketing (SEM),$32568,No,Training,Yes,Tier 2,269
Egypt,Alexandria,Alexandria University,Public,No,Engineering,IoT,Part-time,15.79,Yes,No,No,Print Media,$31965,No,Training,No,Tier 2,376
Egypt,Zagazig,University of Zagazig,Private,Yes,Business,IoT,Full-time,15.01,No,Yes,No,Direct Engagement,$21388,Yes,Consulting,Yes,Tier 1,915
Egypt,Mansoura,University of Mansoura,Public,Yes,Arts,Cyber Security,Full-time,18.51,No,No,Yes,SEO,$29137,No,Training,No,Tier 2,375
Egypt,Assiut,University of Assiut,Public,No,Engineering,Cyber Security,Part-time,15.69,No,No,Yes,Email Marketing,$28799,No,Consulting,Yes,Tier 2,72
Egypt,Minya,University of Minya,Private,No,Business,ML,Part-time,13.96,Yes,Yes,Yes,Community Engagement,$15537,No,Training,Yes,Tier 3,813
Egypt,Ismailia,Suez Canal University,Public,Yes,Arts,IoT,Online,5.61,No,Yes,Yes,Email Marketing,$18930,No,Consulting,Yes,Tier 3,867
Egypt,South Valley,South Valley University,Private,No,Business,IoT,Part-time,11.09,Yes,No,No,Community Engagement,$42772,Yes,Training,Yes,Tier 2,318
Lebanon,Beirut,Lebanese University (Université Libanaise),Private,Yes,Engineering,IoT,Full-time,12.39,Yes,No,No,Social Media Advertising,$33329,Yes,Training,No,Tier 2,903
Lebanon,Beirut,American University of Beirut (AUB),Private,No,Engineering,Cyber Security,Part-time,13.37,Yes,Yes,Yes,Social Media Advertising,$35526,No,Consulting,Yes,Tier 1,114
Lebanon,Beirut,Lebanese American University (LAU),Private,No,Business,Cyber Security,Online,18.77,Yes,Yes,Yes,SEO,$12618,Yes,Training,Yes,Tier 3,122
Lebanon,Beirut,University of Saint Joseph (USJ),Private,No,Science,Cyber Security,Part-time,12.12,No,No,Yes,Print Media,$15514,Yes,Consulting,Yes,Tier 2,243
Lebanon,Beirut,Beirut Arab University (BAU),Public,No,Science,IoT,Online,5.12,No,Yes,No,Email Marketing,$37561,Yes,Both,No,Tier 1,192
Lebanon,Beirut,Lebanese International University (LIU),Private,Yes,Business,Data Science,Part-time,15.04,Yes,No,Yes,Search Engine Marketing (SEM),$27754,No,Consulting,No,Tier 1,314
Lebanon,Beirut,International University of Beirut (IUB),Private,Yes,Science,AI,Online,12.37,Yes,Yes,Yes,SEO,$29379,Yes,Both,No,Tier 2,768
Lebanon,Beirut,Modern University for Business and Science (MUBS),Public,No,Science,AI,Full-time,19.15,No,Yes,Yes,SEO,$41495,Yes,Training,Yes,Tier 2,89
Lebanon,Baabda,Université Antonine,Private,No,Science,AI,Online,15.51,Yes,No,No,Search Engine Marketing (SEM),$34417,Yes,Training,No,Tier 3,535
Lebanon,Kaslik,Holy Spirit University of Kaslik (USEK),Private,No,Science,Cyber Security,Part-time,14.78,Yes,No,No,Print Media,$44380,No,Training,Yes,Tier 1,646
Lebanon,Kaslik,Université Saint-Esprit de Kaslik (USEK),Public,Yes,Business,Cyber Security,Online,19.94,Yes,Yes,No,Print Media,$17806,No,Both,No,Tier 2,683
Lebanon,Byblos,Lebanese American University (LAU),Public,No,Science,AI,Part-time,5.07,No,Yes,No,Radio and tv advertising,$28840,Yes,Both,No,Tier 2,353
Lebanon,Byblos,American University of Technology (AUT),Public,Yes,Business,Cyber Security,Online,8.09,Yes,Yes,Yes,Influencer Marketing,$20858,Yes,Both,Yes,Tier 2,3
Lebanon,Louaize,Notre Dame University - Louaize (NDU),Private,No,Science,AI,Part-time,11.02,Yes,No,Yes,Radio and tv advertising,$48071,No,Consulting,No,Tier 2,658
Lebanon,Tripoli,Al-Manar University of Technology,Private,Yes,Science,AI,Online,16.23,No,Yes,No,Influencer Marketing,$13477,No,Training,Yes,Tier 2,207
Lebanon,Balamand,University of Balamand,Public,Yes,Arts,Data Science,Online,10.56,Yes,No,No,Influencer Marketing,$29588,Yes,Consulting,No,Tier 3,473
Syria,Damascus,University of Damascus,Public,No,Science,ML,Part-time,14.9,Yes,No,Yes,SEO,$25241,Yes,Consulting,No,Tier 1,323
Syria,Damascus,American University of Science and Technology (AUST),Private,Yes,Science,Data Science,Part-time,6.62,No,Yes,Yes,Email Marketing,$30775,No,Consulting,No,Tier 3,872
Syria,Damascus,Syrian Private University (SPU),Public,Yes,Engineering,IoT,Full-time,10.17,Yes,Yes,No,Community Engagement,$42600,Yes,Training,No,Tier 3,347
Syria,Damascus,Arab International University (AIU),Private,No,Science,AI,Online,17.91,No,No,No,Email Marketing,$24043,Yes,Consulting,Yes,Tier 2,990
Syria,Damascus,Al-Maaref University,Private,Yes,Arts,IoT,Part-time,19.24,No,Yes,No,Radio and tv advertising,$15325,Yes,Training,Yes,Tier 2,140
Syria,Damascus,Sham Private University,Public,Yes,Business,ML,Online,5.04,No,No,No,Influencer Marketing,$42163,No,Consulting,Yes,Tier 1,87
Syria,Aleppo,University of Aleppo,Public,No,Science,IoT,Full-time,7.13,Yes,Yes,No,Search Engine Marketing (SEM),$16339,Yes,Consulting,No,Tier 3,879
Syria,Latakia,Tishreen University,Private,No,Arts,AI,Part-time,16.66,Yes,Yes,No,Print Media,$48518,Yes,Both,Yes,Tier 2,626
Syria,Homs,University of Homs,Public,Yes,Business,IoT,Full-time,10.31,Yes,Yes,No,Direct Engagement,$40424,Yes,Both,Yes,Tier 3,433
Syria,Homs,Al-Baath University,Public,No,Arts,Data Science,Online,18.83,No,Yes,Yes,Community Engagement,$33333,Yes,Consulting,Yes,Tier 3,790
Syria,Daraa,University of Daraa,Private,Yes,Engineering,IoT,Part-time,6.81,No,No,Yes,Influencer Marketing,$21337,Yes,Training,No,Tier 2,128
Syria,Qamishli,University of Qamishli,Private,No,Engineering,ML,Full-time,7.79,Yes,Yes,No,Print Media,$39177,No,Consulting,Yes,Tier 1,927
Syria,Deir ez-Zor,University of Deir ez-Zor,Public,Yes,Arts,IoT,Full-time,16.01,Yes,No,Yes,Radio and tv advertising,$12232,No,Training,Yes,Tier 2,255
Syria,Hasaka,University of Hasaka,Private,No,Engineering,IoT,Part-time,11.74,No,No,No,Print Media,$22143,No,Both,No,Tier 2,736
Iraq,Baghdad,University of Baghdad,Private,Yes,Engineering,AI,Part-time,8.78,Yes,Yes,No,Radio and tv advertising,$22350,Yes,Consulting,Yes,Tier 1,66
Iraq,Baghdad,Al-Mustansiriya University,Public,Yes,Engineering,Cyber Security,Full-time,18.4,No,No,Yes,SEO,$39679,No,Consulting,No,Tier 2,606
Iraq,Baghdad,"University of Technology, Iraq",Private,No,Science,ML,Part-time,5.18,Yes,No,Yes,Search Engine Marketing (SEM),$25979,No,Training,No,Tier 2,559
Iraq,Baghdad,"American University of Iraq, Baghdad",Public,Yes,Engineering,Data Science,Online,6.03,Yes,No,Yes,Email Marketing,$34856,No,Both,No,Tier 2,505
Iraq,Baghdad,Al-Nahrain University,Public,No,Engineering,Data Science,Full-time,7.23,Yes,No,No,Direct Engagement,$12505,No,Both,Yes,Tier 3,2
Iraq,Baghdad,Baghdad College of Economic Sciences University,Private,No,Engineering,Data Science,Part-time,10.23,Yes,Yes,No,Search Engine Marketing (SEM),$34539,No,Both,Yes,Tier 2,161
Iraq,Baghdad,Al-Turath University College,Public,No,Arts,IoT,Part-time,5.5,No,No,Yes,Community Engagement,$20554,Yes,Consulting,Yes,Tier 3,424
Iraq,Baghdad,Al-Rafidain University College,Public,Yes,Arts,Data Science,Part-time,15.25,Yes,No,No,Radio and tv advertising,$15096,No,Both,No,Tier 1,334
Iraq,Baghdad,Al-Ma'mun University College,Public,Yes,Engineering,Cyber Security,Full-time,14.83,No,Yes,Yes,Influencer Marketing,$12858,No,Both,No,Tier 3,383
Iraq,Baghdad,Al-Mansour University College,Private,Yes,Business,ML,Part-time,13.95,Yes,Yes,No,Search Engine Marketing (SEM),$42614,Yes,Consulting,Yes,Tier 1,536
Iraq,Basrah,University of Basrah,Private,Yes,Business,Data Science,Full-time,12.91,Yes,No,Yes,Radio and tv advertising,$44847,Yes,Both,Yes,Tier 2,5
Iraq,Mosul,University of Mosul,Private,No,Arts,AI,Online,10.86,Yes,No,No,Radio and tv advertising,$45809,No,Both,Yes,Tier 2,206
Iraq,Mosul,Al-Hadba University College,Private,Yes,Engineering,AI,Part-time,16.48,Yes,No,Yes,Search Engine Marketing (SEM),$31071,Yes,Training,Yes,Tier 3,39
Iraq,Najaf,University of Kufa,Public,No,Arts,Data Science,Part-time,8.18,No,Yes,No,Social Media Advertising,$46589,Yes,Training,No,Tier 1,408
Iraq,Karbala,University of Karbala,Private,No,Arts,Cyber Security,Part-time,12.28,No,No,No,Radio and tv advertising,$18556,No,Training,Yes,Tier 2,259
Iraq,Baqubah,University of Diyala,Public,Yes,Business,IoT,Full-time,8.39,Yes,No,Yes,Radio and tv advertising,$14396,No,Training,No,Tier 1,263
Iraq,Ramadi,University of Anbar,Public,Yes,Arts,AI,Online,6.61,Yes,No,No,Email Marketing,$46471,No,Both,No,Tier 3,271
Iraq,Hillah,University of Babylon,Public,No,Business,Data Science,Full-time,10.44,No,Yes,Yes,Search Engine Marketing (SEM),$45230,Yes,Training,Yes,Tier 2,48
Iraq,Kirkuk,University of Kirkuk,Private,No,Business,AI,Online,7.91,Yes,No,No,SEO,$43073,No,Training,Yes,Tier 1,951
Iraq,Tikrit,University of Tikrit,Private,Yes,Business,Data Science,Part-time,15.49,Yes,No,Yes,Search Engine Marketing (SEM),$34494,No,Consulting,No,Tier 3,376
Iraq,Sulaymaniyah,University of Sulaimani,Public,No,Arts,Cyber Security,Online,5.71,No,No,Yes,Influencer Marketing,$47862,No,Training,Yes,Tier 2,141
Iraq,Sulaymaniyah,"American University of Iraq, Sulaimani",Private,No,Arts,IoT,Part-time,8.64,No,No,Yes,Social Media Advertising,$40857,No,Training,Yes,Tier 3,485
Iraq,Sulaymaniyah,Komar University of Science and Technology,Public,No,Science,Cyber Security,Part-time,13.33,Yes,Yes,Yes,Radio and tv advertising,$34458,Yes,Training,No,Tier 2,945
Iraq,Sulaymaniyah,University of Human Development,Private,Yes,Engineering,Data Science,Full-time,7.41,No,No,Yes,Influencer Marketing,$34294,No,Consulting,No,Tier 3,701
Iraq,Duhok,University of Duhok,Public,Yes,Science,Cyber Security,Full-time,9.56,No,No,No,Print Media,$20057,No,Both,Yes,Tier 2,158
Iraq,Duhok,Cihan University,Private,Yes,Engineering,ML,Online,5.63,Yes,Yes,Yes,Print Media,$36562,No,Consulting,No,Tier 3,406
Iraq,Al Diwaniyah,University of Al-Qadisiyah,Private,No,Arts,Cyber Security,Online,6.19,Yes,Yes,No,Direct Engagement,$21550,Yes,Both,No,Tier 1,232
Iraq,Nasiriyah,University of Thi-Qar,Public,No,Engineering,IoT,Full-time,9.72,No,No,Yes,Community Engagement,$43711,Yes,Training,No,Tier 1,609
Iraq,Amarah,University of Misan,Public,Yes,Science,Data Science,Online,17.58,Yes,No,No,Print Media,$44811,No,Consulting,No,Tier 1,52
Iraq,Kut,University of Wasit,Public,No,Science,Data Science,Online,6.38,No,No,No,Community Engagement,$13877,Yes,Both,Yes,Tier 2,236
Iraq,Samarra,University of Samarra,Private,No,Science,AI,Online,12.34,Yes,No,No,Influencer Marketing,$30091,No,Training,Yes,Tier 3,176
Iraq,Fallujah,University of Fallujah,Private,Yes,Science,AI,Full-time,14.12,No,Yes,No,Print Media,$35951,No,Both,Yes,Tier 2,4
Iraq,Erbil,Cihan University,Private,Yes,Science,AI,Full-time,5.39,No,Yes,No,Print Media,$45469,No,Consulting,No,Tier 1,511
Iraq,Erbil,SABIS® University,Public,Yes,Business,ML,Online,19.71,No,No,No,Search Engine Marketing (SEM),$31619,Yes,Consulting,No,Tier 3,611
Iraq,Erbil,Lebanese French University,Public,No,Science,AI,Online,11.76,No,Yes,Yes,Print Media,$13428,No,Consulting,No,Tier 1,953
Iraq,Erbil,Catholic University in Erbil,Private,Yes,Business,AI,Part-time,13.31,No,No,Yes,Radio and tv advertising,$43745,No,Both,Yes,Tier 2,995
Iraq,Erbil,University of Kurdistan Hewlêr,Private,Yes,Science,ML,Part-time,11.78,Yes,No,No,Community Engagement,$48704,No,Training,No,Tier 2,395
Armenia,Yerevan,Yerevan State University,Private,No,Business,AI,Part-time,12.3,Yes,Yes,Yes,Community Engagement,$11435,Yes,Training,No,Tier 2,488
Armenia,Yerevan,National Polytechnic University of Armenia,Private,No,Business,ML,Full-time,15.97,Yes,Yes,Yes,Radio and tv advertising,$15272,No,Both,No,Tier 1,311
