Country,State,University Name,Type of University,Tie Up with University,School,Technologies/Courses Offered,Course Types,Unplaced %,Corporate Tie Up,Job Offering,Internship,Marketing Strategy,Costing,Hackathons,Services Offered,Scholarships,Tier,Ranking
Saudi Arabia,Dammam,University of Dammam,Private,Yes,Engineering,AI,Online,6.36,Yes,No,Yes,Both,$23705,No,Training,Yes,Tier 3,849
Saudi Arabia,Tabuk,University of Tabuk,Private,Yes,Engineering,Data Science,Online,16.7,Yes,Yes,Yes,Both,$48783,Yes,Training,Yes,Tier 3,840
Saudi Arabia,Hail,University of Hail,Public,Yes,Engineering,AI,Full-time,16.11,Yes,No,No,Both,$25862,Yes,Training,No,Tier 3,683
Saudi Arabia,Jazan,University of Jazan,Private,Yes,Business,ML,Online,19.06,Yes,Yes,Yes,Both,$45439,No,Both,Yes,Tier 2,130
Saudi Arabia,Jubail,Jubail University College,Public,Yes,Arts,ML,Online,12.31,No,No,Yes,Digital,$27630,No,Both,No,Tier 3,456
Saudi Arabia,Buraydah,Qassim University,Public,Yes,Business,ML,Part-time,19.66,No,Yes,Yes,Digital,$22725,No,Consulting,Yes,Tier 2,464
Kuwait,Kuwait City,Kuwait College of Business Administration,Private,No,Business,Data Science,Full-time,11.59,Yes,No,Yes,Traditional,$32867,Yes,Consulting,Yes,Tier 3,240
Egypt,Giza,Cairo University,Private,No,Arts,ML,Full-time,18.29,Yes,No,Yes,Traditional,$36387,No,Consulting,Yes,Tier 1,732
Egypt,Cairo,American University in Cairo (AUC),Public,Yes,Science,IoT,Online,9.27,No,No,No,Digital,$13544,Yes,Training,No,Tier 1,778
Egypt,Alexandria,Alexandria University,Public,Yes,Arts,IoT,Part-time,16.64,Yes,No,No,Digital,$43019,No,Both,Yes,Tier 1,601
Egypt,Zagazig,University of Zagazig,Private,Yes,Business,Data Science,Full-time,14.45,Yes,No,No,Digital,$17717,Yes,Training,No,Tier 2,421
Egypt,Mansoura,University of Mansoura,Public,Yes,Business,IoT,Full-time,12.62,Yes,No,Yes,Traditional,$49377,No,Training,Yes,Tier 2,260
Egypt,Assiut,University of Assiut,Public,No,Engineering,AI,Full-time,15.18,No,Yes,Yes,Digital,$20455,Yes,Both,Yes,Tier 1,409
Egypt,Minya,University of Minya,Private,No,Business,Data Science,Full-time,14.44,No,No,No,Both,$22027,No,Training,Yes,Tier 3,846
Egypt,Ismailia,Suez Canal University,Public,No,Engineering,IoT,Online,8.88,Yes,No,No,Traditional,$49044,Yes,Training,No,Tier 3,466
Egypt,South Valley,South Valley University,Public,Yes,Arts,ML,Full-time,14.41,Yes,No,No,Both,$34437,Yes,Consulting,No,Tier 2,261
Lebanon,Beirut,Université des Sciences de l'Environnement,Private,Yes,Arts,Cyber Security,Part-time,7.99,No,Yes,No,Digital,$28724,No,Both,Yes,Tier 3,945
Lebanon,Zouk Mosbeh,Notre Dame University (NDU),Private,No,Arts,Data Science,Online,15.63,Yes,No,No,Both,$34133,No,Consulting,No,Tier 3,981
Lebanon,Balamand,University of Balamand,Public,No,Science,Cyber Security,Online,6.93,No,No,No,Digital,$37597,No,Training,Yes,Tier 1,182
Lebanon,Tripoli,Al Manar University of Tripoli,Private,Yes,Science,AI,Online,18.27,Yes,No,Yes,Traditional,$35761,Yes,Consulting,Yes,Tier 2,620
Lebanon,Kaslik,Université Saint-Esprit de Kaslik,Public,Yes,Arts,AI,Online,15.58,No,Yes,No,Traditional,$14360,No,Both,Yes,Tier 1,694
Syria,Damascus,Damascus University,Private,No,Business,ML,Part-time,12.5,Yes,No,No,Both,$35174,No,Consulting,Yes,Tier 3,906
Syria,Aleppo,Aleppo University,Private,Yes,Arts,Data Science,Part-time,15.94,No,No,Yes,Traditional,$29880,No,Training,No,Tier 3,626
Syria,Latakia,Tishreen University,Public,Yes,Business,Data Science,Part-time,5.42,No,No,Yes,Both,$24715,No,Consulting,No,Tier 3,880
Syria,Homs,University of Al-Baath,Private,Yes,Business,IoT,Full-time,6.22,Yes,No,Yes,Traditional,$15256,Yes,Both,No,Tier 3,469
Syria,Daraa,University of Daraa,Private,Yes,Science,Data Science,Part-time,12.16,Yes,No,No,Traditional,$30080,Yes,Consulting,Yes,Tier 1,871
Syria,Tartous,University of Tartous,Private,Yes,Arts,AI,Part-time,13.27,Yes,No,No,Both,$48133,No,Consulting,Yes,Tier 3,583
Syria,Idlib,University of Idlib,Private,No,Arts,IoT,Part-time,5.05,Yes,Yes,Yes,Both,$11848,No,Both,No,Tier 3,485
Syria,Lattakia,University of Lattakia,Public,No,Science,Data Science,Full-time,13.61,Yes,Yes,Yes,Digital,$25603,No,Both,No,Tier 1,97
Syria,Suwayda,University of Suwayda,Public,No,Business,AI,Part-time,18.71,No,Yes,No,Digital,$13481,No,Training,No,Tier 3,466
Syria,Deir ez-Zor,University of Deir ez-Zor,Private,No,Business,ML,Full-time,15.31,Yes,No,No,Traditional,$11388,No,Consulting,No,Tier 1,815
Syria,Raqqa,University of Raqqa,Private,Yes,Arts,Data Science,Online,9.37,Yes,No,No,Traditional,$23404,No,Both,No,Tier 3,823
Syria,Hasakah,University of Hasakah,Private,Yes,Arts,Cyber Security,Online,5.61,No,No,No,Traditional,$34322,No,Consulting,Yes,Tier 2,437
Syria,Qamishli,University of Qamishli,Public,No,Science,ML,Online,19.4,Yes,No,No,Digital,$25421,No,Both,Yes,Tier 3,181
Syria,Maarrat al-Nu'man,University of Maarrat al-Nu'man,Private,No,Science,ML,Full-time,8.57,No,Yes,Yes,Traditional,$41649,Yes,Training,No,Tier 3,181
Syria,Palmyra,University of Palmyra,Private,Yes,Arts,Cyber Security,Part-time,18.47,Yes,No,No,Both,$40531,No,Both,Yes,Tier 3,403
Syria,Sheikh Said,University of Sheikh Said,Private,Yes,Arts,Cyber Security,Full-time,6.27,Yes,No,No,Traditional,$29911,Yes,Training,No,Tier 1,745
Syria,Al-Munir,University of Al-Munir,Public,Yes,Business,ML,Part-time,9.02,No,Yes,Yes,Traditional,$16213,Yes,Training,Yes,Tier 1,944
Syria,Al-Salihiyah,University of Al-Salihiyah,Public,Yes,Business,ML,Full-time,5.11,No,No,Yes,Traditional,$32478,No,Training,Yes,Tier 1,195
Syria,Al-Ashrafiyah,University of Al-Ashrafiyah,Private,No,Business,IoT,Part-time,6.71,Yes,Yes,No,Traditional,$20525,Yes,Consulting,No,Tier 3,842
Syria,Al-Jabal,University of Al-Jabal,Public,Yes,Science,AI,Online,16.32,No,Yes,No,Both,$49098,No,Both,Yes,Tier 3,925
Syria,Al-Raqqa,University of Al-Raqqa,Private,Yes,Science,Data Science,Part-time,8.75,No,Yes,No,Both,$22984,Yes,Both,No,Tier 1,231
Syria,Al-Mahfouz,University of Al-Mahfouz,Public,Yes,Engineering,AI,Full-time,18.14,No,No,Yes,Traditional,$36564,Yes,Both,No,Tier 3,372
Syria,Al-Quneitra,University of Al-Quneitra,Public,No,Arts,Data Science,Part-time,9.23,Yes,No,Yes,Digital,$39319,Yes,Training,Yes,Tier 3,239
Syria,Al-Nabek,University of Al-Nabek,Private,No,Arts,Data Science,Online,16.39,Yes,Yes,No,Both,$43762,Yes,Both,No,Tier 1,221
Syria,Al-Tal,University of Al-Tal,Public,Yes,Business,IoT,Part-time,6.59,No,Yes,Yes,Traditional,$25643,No,Training,Yes,Tier 2,350
Syria,Al-Zabadani,University of Al-Zabadani,Private,No,Business,IoT,Part-time,5.95,No,Yes,No,Digital,$25050,Yes,Both,No,Tier 1,384
Syria,Al-Maad,University of Al-Maad,Public,Yes,Arts,IoT,Online,10.89,No,Yes,No,Both,$28542,No,Consulting,Yes,Tier 2,785
Syria,Al-Safira,University of Al-Safira,Private,No,Arts,IoT,Online,10.95,Yes,No,Yes,Traditional,$21467,No,Both,Yes,Tier 1,426
Syria,Al-Bukamal,University of Al-Bukamal,Private,Yes,Business,Data Science,Online,5.62,No,No,Yes,Both,$18848,No,Both,Yes,Tier 3,715
Syria,Al-Khishta,University of Al-Khishta,Private,Yes,Engineering,AI,Full-time,14.32,Yes,Yes,Yes,Both,$49114,No,Training,Yes,Tier 3,215
Iraq,Baghdad,University of Baghdad,Public,No,Business,Data Science,Part-time,12.49,Yes,Yes,No,Both,$23557,Yes,Consulting,Yes,Tier 2,497
Iraq,Mosul,University of Mosul,Private,Yes,Science,ML,Full-time,10.35,Yes,No,Yes,Digital,$26544,No,Consulting,No,Tier 2,750
Iraq,Basra,University of Basra,Public,No,Arts,IoT,Online,19.49,Yes,No,No,Both,$15471,Yes,Both,No,Tier 2,872
Iraq,Erbil,University of Erbil,Public,Yes,Engineering,ML,Full-time,5.22,Yes,No,Yes,Both,$47281,Yes,Training,Yes,Tier 1,47
Iraq,Sulaimani,Sulaimani University,Private,Yes,Science,AI,Part-time,11.85,No,Yes,Yes,Traditional,$26977,No,Consulting,Yes,Tier 2,249
Iraq,Duhok,University of Duhok,Private,No,Science,AI,Full-time,10.73,Yes,No,No,Both,$22474,No,Both,No,Tier 1,75
Iraq,Kufa,University of Kufa,Private,Yes,Arts,Data Science,Full-time,13.42,Yes,No,No,Digital,$13349,Yes,Consulting,No,Tier 3,284
Iraq,Nassiriya,University of Nassiriya,Public,No,Arts,Data Science,Online,19.25,No,Yes,Yes,Both,$25695,No,Both,No,Tier 3,444
Iraq,Babylon,University of Babylon,Private,Yes,Science,IoT,Online,6.81,No,Yes,No,Traditional,$38030,Yes,Both,Yes,Tier 3,513
Iraq,Amara,University of Amara,Private,Yes,Arts,ML,Part-time,11.8,Yes,Yes,Yes,Traditional,$16112,No,Both,Yes,Tier 3,979
Iraq,Anbar,University of Anbar,Private,Yes,Engineering,AI,Full-time,6.99,Yes,No,No,Digital,$10303,Yes,Training,No,Tier 3,144
Iraq,Kirkuk,University of Kirkuk,Private,No,Engineering,IoT,Full-time,11.17,No,No,Yes,Traditional,$23736,Yes,Consulting,Yes,Tier 2,78
Iraq,Najaf,University of Najaf,Public,No,Engineering,AI,Full-time,5.85,No,Yes,No,Both,$12861,Yes,Training,No,Tier 1,910
Iraq,Qadissiyah,University of Qadissiyah,Public,Yes,Science,IoT,Part-time,19.55,Yes,Yes,No,Both,$30001,No,Training,Yes,Tier 3,202
Iraq,Samawah,University of Samawah,Private,Yes,Science,Cyber Security,Online,13.5,Yes,No,Yes,Digital,$18807,Yes,Consulting,No,Tier 1,605
Iraq,Tikrit,University of Tikrit,Private,No,Science,AI,Part-time,18.38,Yes,No,Yes,Traditional,$46521,No,Both,Yes,Tier 3,77
Iraq,Thi-Qar,University of Thi-Qar,Private,No,Engineering,ML,Part-time,17.78,Yes,No,Yes,Both,$36839,Yes,Training,Yes,Tier 2,652
Iraq,Wasit,University of Wasit,Public,No,Engineering,Cyber Security,Part-time,5.43,Yes,Yes,Yes,Digital,$19544,Yes,Training,Yes,Tier 1,133
Iraq,Sulaymaniyah,Sulaymaniyah University,Public,No,Science,Data Science,Online,11.12,Yes,No,No,Digital,$43635,Yes,Both,No,Tier 1,652
Palestine,Gaza,Al-Azhar University - Gaza,Private,No,Business,AI,Part-time,7.97,Yes,No,No,Digital,$48224,No,Both,No,Tier 1,925
Palestine,Ramallah,Birzeit University,Public,Yes,Arts,ML,Online,11.1,Yes,Yes,No,Digital,$31405,Yes,Both,No,Tier 2,386
Palestine,Nablus,An-Najah National University,Public,No,Arts,ML,Full-time,14.97,No,No,No,Traditional,$24426,No,Training,Yes,Tier 2,21
Palestine,Hebron,Hebron University,Private,No,Arts,Data Science,Part-time,19.61,Yes,Yes,No,Digital,$23993,Yes,Consulting,No,Tier 3,917
Palestine,Jericho,Al-Quds University,Private,No,Science,Data Science,Full-time,18.1,Yes,Yes,Yes,Digital,$14584,Yes,Both,No,Tier 2,96
Palestine,Bethlehem,Bethlehem University,Public,No,Arts,Cyber Security,Part-time,11.18,Yes,Yes,Yes,Digital,$38977,Yes,Training,No,Tier 2,367
Palestine,Jenin,Arab American University,Public,Yes,Engineering,Cyber Security,Online,11.6,No,Yes,No,Digital,$15667,No,Both,No,Tier 1,603
Palestine,Tulkarm,Palestine Technical University - Kadoorie,Public,Yes,Science,Data Science,Part-time,18.99,No,Yes,Yes,Digital,$47211,Yes,Consulting,Yes,Tier 2,216
Qatar,Doha,Northwestern University in Qatar,Private,No,Science,IoT,Part-time,9.28,Yes,Yes,No,Digital,$20142,No,Consulting,No,Tier 1,867
Bahrain,Manama,Bahrain Institute of Banking and Finance (BIBF),Public,Yes,Engineering,Cyber Security,Full-time,19.78,Yes,Yes,No,Digital,$23873,Yes,Training,No,Tier 3,393
Oman,Muscat,Oman Medical College,Private,Yes,Engineering,AI,Part-time,6.83,Yes,No,Yes,Both,$23720,No,Both,No,Tier 1,837
Oman,Salalah,Dhofar University,Public,No,Business,IoT,Online,12.96,No,Yes,No,Both,$47735,Yes,Both,No,Tier 2,927
Oman,Nizwa,University of Nizwa,Public,Yes,Business,Data Science,Full-time,16.29,No,No,Yes,Traditional,$17032,Yes,Consulting,Yes,Tier 2,63
Oman,Sohar,Sohar University,Private,Yes,Engineering,IoT,Full-time,8.78,No,Yes,No,Digital,$30844,Yes,Both,No,Tier 2,379
Oman,Sur,Sur University College,Public,No,Science,Data Science,Part-time,8.96,Yes,No,No,Traditional,$14257,Yes,Both,No,Tier 2,192
Oman,Barka,Al Buraimi University College,Public,Yes,Science,IoT,Part-time,18.66,No,Yes,No,Both,$40844,Yes,Both,Yes,Tier 3,140
Oman,Ibra,Ibra College of Technology,Private,No,Engineering,IoT,Online,19.38,Yes,No,No,Both,$41139,No,Both,Yes,Tier 1,34
Jordan,Amman,Princess Sumaya University for Technology,Private,Yes,Arts,AI,Part-time,19.11,No,No,No,Traditional,$49808,No,Training,No,Tier 3,251
Jordan,Irbid,Yarmouk University,Private,Yes,Science,AI,Part-time,11.04,Yes,Yes,No,Traditional,$40674,No,Consulting,Yes,Tier 2,446
Jordan,Aqaba,Aqaba University of Technology,Private,Yes,Business,Cyber Security,Full-time,18.45,No,Yes,No,Digital,$33935,No,Training,No,Tier 1,327
Jordan,Zarqa,Hashemite University,Private,No,Engineering,IoT,Full-time,18.66,No,No,No,Both,$38136,No,Consulting,Yes,Tier 3,188
Jordan,Madaba,American University of Madaba,Private,No,Business,AI,Full-time,15.72,Yes,Yes,No,Traditional,$35086,No,Both,Yes,Tier 1,540
Jordan,Ajloun,Ajloun National University,Public,Yes,Engineering,ML,Full-time,17.58,Yes,Yes,Yes,Traditional,$32809,Yes,Both,No,Tier 2,75
Jordan,Mafraq,Al al-Bayt University,Public,No,Business,ML,Online,6.54,Yes,No,No,Both,$26121,Yes,Training,Yes,Tier 1,257
Jordan,Karak,Mutah University,Private,No,Business,Data Science,Part-time,19.89,No,No,No,Traditional,$29597,No,Consulting,No,Tier 2,439
